actor,movie_or_TV_name
Leonard Nimoy,Vacation Playhouse
Nichelle Nichols,Head of the Class
Nichelle Nichols,Star Trek IV: The Voyage Home
Nichelle Nichols,The Supernaturals
Nichelle Nichols,Antony and Cleopatra
Nichelle Nichols,Star Trek III: The Search for Spock
Nichelle Nichols,Star Trek II: The Wrath of Khan
James Doohan,The Man from U.N.C.L.E.
James Doohan,The Virginian
James Doohan,Bewitched
James Doohan,Convoy
James Doohan,Laredo
James Doohan,The Fugitive
Walter Koenig,Roddenberry on Patrol
Walter Koenig,Futurama
Walter Koenig,Son of the Beach
Walter Koenig,The Privateers
Walter Koenig,Diagnosis Murder
Walter Koenig,Babylon 5
Leonard Nimoy,Kraft Suspense Theatre
Leonard Nimoy,Death Valley Days
Leonard Nimoy,Profiles in Courage
Leonard Nimoy,The Man from U.N.C.L.E.
Nichelle Nichols,Star Trek: The Motion Picture
Nichelle Nichols,Star Trek: The Animated Series
Nichelle Nichols,Truck Turner
Nichelle Nichols,The D.A.
Nichelle Nichols,Insight
Nichelle Nichols,Star Trek: The Original Series
James Doohan,Willy McBean and His Magic Machine
James Doohan,Bus Riley's Back in Town
James Doohan,The Satan Bug
James Doohan,Voyage to the Bottom of the Sea
James Doohan,Signpost to Murder
William Shatner,Keeper of the Cup
Walter Koenig,Drawing Down the Moon
Walter Koenig,Almost Perfect
Walter Koenig,Viva Variety
Walter Koenig,Sworn to Justice
Walter Koenig,Star Trek: Generations
Walter Koenig,Star Trek Adventure
Leonard Nimoy,The Outer Limits
Leonard Nimoy,The Eleventh Hour
Leonard Nimoy,The Lieutenant
Leonard Nimoy,Dr. Kildare
Nichelle Nichols,"Doctor, You've Got to Be Kidding!"
Nichelle Nichols,Tarzan
Nichelle Nichols,Mister Buddwing
Nichelle Nichols,Peyton Place
Nichelle Nichols,Made in Paris
Nichelle Nichols,CBS Repertoire Workshop
James Doohan,36 Hours
James Doohan,Ben Casey
James Doohan,The Rogues
James Doohan,The Outer Limits
James Doohan,The Richard Boone Show
James Doohan,Bonanza
William Shatner,Fireheart
William Shatner,The Elevator
William Shatner,William Shatner War Chronicles: German
Walter Koenig,Star Trek VI: The Undiscovered Country
Walter Koenig,The Real Ghostbusters
Walter Koenig,Star Trek V: The Final Frontier
Walter Koenig,Moontrap
Walter Koenig,Star Trek IV: The Voyage Home
Walter Koenig,Antony and Cleopatra
Leonard Nimoy,General Hospital
Leonard Nimoy,The Balcony
Leonard Nimoy,This Is the Life
Leonard Nimoy,Perry Mason
Nichelle Nichols,The Lieutenant
Nichelle Nichols,Great Gettin' Up Mornin'
Nichelle Nichols,Porgy and Bess
James Doohan,The Wheeler Dealers
James Doohan,Festival
James Doohan,The Labyrinth
James Doohan,Going My Way
James Doohan,Empire
James Doohan,The Gallant Men
William Shatner,My Life Is Murder
William Shatner,Senior Moment
Walter Koenig,Star Trek III: The Search for Spock
Walter Koenig,Bring 'Em Back Alive
Walter Koenig,Star Trek II: The Wrath of Khan
Walter Koenig,Star Trek: The Motion Picture
Walter Koenig,Columbo
Walter Koenig,Nightmare Honeymoon
Leonard Nimoy,Sam Benedict
Leonard Nimoy,Stoney Burke
Leonard Nimoy,Wagon Train
Leonard Nimoy,The Untouchables
James Doohan,G.E. True
James Doohan,Hazel
James Doohan,The Twilight Zone
James Doohan,Gunsmoke
James Doohan,The New Breed
James Doohan,The Business of Farming
James Doohan,Encounter
William Shatner,Devil's Revenge
William Shatner,To Your Last Death
William Shatner,Private Eyes
Walter Koenig,The Questor Tapes
Walter Koenig,The Starlost
Walter Koenig,"Goodbye, Raggedy Ann"
Walter Koenig,Ironside
Walter Koenig,The Virginian
Walter Koenig,Medical Center
Leonard Nimoy,Laramie
Leonard Nimoy,Cain's Hundred
Leonard Nimoy,The Twilight Zone
Leonard Nimoy,87th Precinct
James Doohan,Heritage
James Doohan,First Person
James Doohan,R.C.M.P.
James Doohan,The Hill
James Doohan,Startime
James Doohan,The Unforeseen
DeForest Kelley,The Brave Little Toaster Goes to Mars
John Winston,Star Trek Phase II
William Shatner,Creators: The Past
William Shatner,The Big Bang Theory
William Shatner,The Steam Engines of Oz
Walter Koenig,Star Trek: The Original Series
Walter Koenig,Mannix
Walter Koenig,Jericho
Walter Koenig,I Spy
Walter Koenig,Gidget
Walter Koenig,Mr. Novak
Leonard Nimoy,Two Faces West
Leonard Nimoy,Rawhide
Leonard Nimoy,Tales of Wells Fargo
Leonard Nimoy,The Tall Man
James Doohan,First Performance
James Doohan,On Camera
James Doohan,Test Pilot
James Doohan,Folio
James Doohan,Hawkeye and the Last of the Mohicans
James Doohan,Strike in Town: Revised
DeForest Kelley,Star Trek Adventure
DeForest Kelley,Star Trek VI: The Undiscovered Country
DeForest Kelley,Star Trek V: The Final Frontier
DeForest Kelley,Star Trek: The Next Generation
DeForest Kelley,Star Trek IV: The Voyage Home
DeForest Kelley,Star Trek III: The Search for Spock
John Winston,Lucky Chances
John Winston,Max Headroom
John Winston,The Fall Guy
John Winston,Star Trek II: The Wrath of Khan
John Winston,Charlie's Angels
John Winston,California Split
John Winston,Assault on the Wayne
John Winston,Sole Survivor
John Winston,Justine
John Winston,Star Trek: The Original Series
William Shatner,Aliens Ate My Homework
William Shatner,The Indian Detective
William Shatner,Batman vs. Two-Face
Walter Koenig,Ben Casey
Walter Koenig,The Alfred Hitchcock Hour
Walter Koenig,The Lieutenant
Walter Koenig,The Great Adventure
Walter Koenig,Strange Lovers
Walter Koenig,General Hospital
Leonard Nimoy,Bonanza
Leonard Nimoy,The Rebel
Leonard Nimoy,Outlaws
Leonard Nimoy,Tate
James Doohan,The Cage
James Doohan,The Hill
James Doohan,Strike in Town
James Doohan,Playbill
James Doohan,Men at Work
James Doohan,Space Command
DeForest Kelley,Star Trek II: The Wrath of Khan
DeForest Kelley,The Littlest Hobo
DeForest Kelley,Star Trek: The Motion Picture
DeForest Kelley,Star Trek: The Animated Series
DeForest Kelley,The Cowboys
John Winston,The Time Tunnel
John Winston,12 O'Clock High
John Winston,The Man from U.N.C.L.E.
William Shatner,My Little Pony: Friendship Is Magic
William Shatner,A Sunday Horse
William Shatner,Hashtaggers
Walter Koenig,The Untouchables
Walter Koenig,The Norman Vincent Peale Story
Walter Koenig,Combat!
David L. Ross,Rocky II
David L. Ross,McMillan & Wife
Leonard Nimoy,Sea Hunt
Leonard Nimoy,M Squad
Leonard Nimoy,Lock Up
Leonard Nimoy,Tombstone Territory
James Doohan,Tales of Tomorrow
James Doohan,Suspense
James Doohan,Actor's Studio
DeForest Kelley,The ABC Afternoon Playbreak
DeForest Kelley,Night of the Lepus
DeForest Kelley,The Bull of the West
DeForest Kelley,Room 222
DeForest Kelley,"Owen Marshall, Counselor at Law"
DeForest Kelley,The Bold Ones: The New Doctors
William Shatner,Range 15
William Shatner,Haven
William Shatner,Just in Time for Christmas
David L. Ross,Star Trek: The Original Series
David L. Ross,The Man from U.N.C.L.E.
David L. Ross,Combat!
David L. Ross,Armstrong Circle Theatre
Leonard Nimoy,Colt .45
Leonard Nimoy,The Rough Riders
Leonard Nimoy,Mackenzie's Raiders
Leonard Nimoy,Dragnet
DeForest Kelley,The Silent Force
DeForest Kelley,Ironside
DeForest Kelley,Star Trek: The Original Series
DeForest Kelley,Police Story
DeForest Kelley,Bonanza: Ride the Wind
DeForest Kelley,Waco
William Shatner,William Shatner War Chronicles
William Shatner,"Baby, Baby, Baby"
William Shatner,Murdoch Mysteries
Leonard Nimoy,26 Men
Leonard Nimoy,Steve Canyon
Leonard Nimoy,Highway Patrol
Leonard Nimoy,Cimarron City
DeForest Kelley,Death Valley Days
DeForest Kelley,Laredo
DeForest Kelley,A Man Called Shenandoah
DeForest Kelley,Bonanza
DeForest Kelley,Apache Uprising
DeForest Kelley,The Donna Reed Show
William Shatner,A Christmas Horror Story
William Shatner,Hot in Cleveland
Leonard Nimoy,Target
Leonard Nimoy,The Brain Eaters
Leonard Nimoy,Broken Arrow
Leonard Nimoy,The Silent Service
DeForest Kelley,The Fugitive
DeForest Kelley,Marriage on the Rocks
DeForest Kelley,Town Tamer
DeForest Kelley,Black Spurs
DeForest Kelley,Slattery's People
DeForest Kelley,Where Love Has Gone
William Shatner,Brian Evans: At Fenway
William Shatner,Escape from Planet Earth
William Shatner,Rookie Blue
Leonard Nimoy,Harbor Command
Leonard Nimoy,West Point
Leonard Nimoy,The Man Called X
Leonard Nimoy,Navy Log
DeForest Kelley,The Virginian
DeForest Kelley,Gunfight at Comanche Creek
DeForest Kelley,77 Sunset Strip
DeForest Kelley,The Dakotas
DeForest Kelley,The Gallant Men
William Shatner,Psych
William Shatner,Billy Blackburn's Treasure Chest: Rare Home Movies and Special Memories
Leonard Nimoy,Matinee Theatre
Leonard Nimoy,Luke and the Tenderfoot
Leonard Nimoy,Your Favorite Story
DeForest Kelley,Laramie
DeForest Kelley,Have Gun - Will Travel
DeForest Kelley,Route 66
DeForest Kelley,Perry Mason
DeForest Kelley,Cain's Hundred
DeForest Kelley,Shannon
William Shatner,Horrorween
William Shatner,Bruno Mars: The Lazy Song (Alternate Version)
William Shatner,$#*! My Dad Says
Leonard Nimoy,Them!
Leonard Nimoy,Fireside Theatre
Leonard Nimoy,Old Overland Trail
Leonard Nimoy,Four Star Playhouse
DeForest Kelley,Stagecoach West
DeForest Kelley,Bat Masterson
DeForest Kelley,The Deputy
DeForest Kelley,Lawman
DeForest Kelley,Coronado 9
DeForest Kelley,Assignment: Underwater
William Shatner,Quantum Quest: A Cassini Space Odyssey
William Shatner,The True Story of Puss 'N Boots
William Shatner,Fanboys
Leonard Nimoy,Zombies of the Stratosphere
Leonard Nimoy,Francis Goes to West Point
Leonard Nimoy,Kid Monk Baroni
Leonard Nimoy,Rhubarb
DeForest Kelley,Tales of Wells Fargo
DeForest Kelley,Riverboat
DeForest Kelley,Two Faces West
DeForest Kelley,Markham
DeForest Kelley,Alcoa Theatre
DeForest Kelley,Zane Grey Theatre
William Shatner,Boston Legal
William Shatner,Gotta Catch Santa Claus
William Shatner,Everest
Leonard Nimoy,Queen for a Day
Jay D. Jones,A Wedding
Jay D. Jones,Kung Fu
DeForest Kelley,Johnny Midnight
DeForest Kelley,Mike Hammer
DeForest Kelley,"Richard Diamond, Private Detective"
DeForest Kelley,Black Saddle
DeForest Kelley,The Magical World of Disney
DeForest Kelley,Wanted: Dead or Alive
William Shatner,Live Life
William Shatner,Brad Paisley: Online
Jay D. Jones,The F.B.I.
Jay D. Jones,Bonanza
Jay D. Jones,The Smith Family
Jay D. Jones,The High Chaparral
Jay D. Jones,Star Trek: The Original Series
Jay D. Jones,The Man from U.N.C.L.E.
DeForest Kelley,Trackdown
DeForest Kelley,21 Beacon Street
DeForest Kelley,The Lineup
DeForest Kelley,State Trooper
DeForest Kelley,Warlock
DeForest Kelley,Mackenzie's Raiders
William Shatner,Over the Hedge
William Shatner,The Wild
William Shatner,Stalking Santa
DeForest Kelley,Rawhide
DeForest Kelley,Northwest Passage
DeForest Kelley,Special Agent 7
DeForest Kelley,26 Men
DeForest Kelley,The Californians
DeForest Kelley,The Rough Riders
William Shatner,Last Laugh '05
William Shatner,Atomic Betty
William Shatner,Invasion Iowa
Grace Lee Whitney,Star Trek: Of Gods and Men
DeForest Kelley,Steve Canyon
DeForest Kelley,The Law and Jake Wade
DeForest Kelley,M Squad
DeForest Kelley,The Silent Service
DeForest Kelley,Playhouse 90
William Shatner,Miss Congeniality 2: Armed & Fabulous
William Shatner,William Shatner: It Hasn't Happened Yet
William Shatner,Lil' Pimp
Grace Lee Whitney,Star Trek Phase II
Grace Lee Whitney,Diagnosis Murder
Grace Lee Whitney,Star Trek: Voyager
Grace Lee Whitney,Star Trek VI: The Undiscovered Country
Grace Lee Whitney,Star Trek IV: The Voyage Home
Grace Lee Whitney,Star Trek III: The Search for Spock
Grace Lee Whitney,The Kid with the 200 I.Q.
DeForest Kelley,Boots and Saddles
DeForest Kelley,Raintree County
DeForest Kelley,The O. Henry Playhouse
DeForest Kelley,The Web
DeForest Kelley,Schlitz Playhouse
DeForest Kelley,Code 3
William Shatner,Dodgeball: A True Underdog Story
William Shatner,Chilly Beach
William Shatner,The Practice
Grace Lee Whitney,Hart to Hart
Grace Lee Whitney,Star Trek: The Motion Picture
Grace Lee Whitney,The Next Step Beyond
Grace Lee Whitney,Cannon
Grace Lee Whitney,The Bold Ones: The Lawyers
Grace Lee Whitney,Death Valley Days
Grace Lee Whitney,The Name of the Game
DeForest Kelley,Gunfight at the O.K. Corral
DeForest Kelley,Navy Log
DeForest Kelley,The Adventures of Jim Bowie
DeForest Kelley,Science Fiction Theatre
DeForest Kelley,Tension at Table Rock
DeForest Kelley,You Are There
William Shatner,A Carol Christmas
William Shatner,Groom Lake
William Shatner,American Psycho II: All American Girl
Grace Lee Whitney,The Outsider
Grace Lee Whitney,The Virginian
Grace Lee Whitney,The Big Valley
Grace Lee Whitney,Mannix
Grace Lee Whitney,Cimarron Strip
Grace Lee Whitney,The Magical World of Disney
Grace Lee Whitney,Police Story
Majel Barrett,Hamlet A.D.D.
DeForest Kelley,Strange Stories
DeForest Kelley,The Man in the Gray Flannel Suit
DeForest Kelley,Matinee Theatre
DeForest Kelley,Gunsmoke
DeForest Kelley,The View from Pompey's Head
DeForest Kelley,Studio 57
William Shatner,Futurama
William Shatner,Showtime
Bart La Rue,Snatched
Grace Lee Whitney,Ironside
Grace Lee Whitney,Rango
Grace Lee Whitney,Batman
Grace Lee Whitney,Run for Your Life
Grace Lee Whitney,Star Trek: The Original Series
Grace Lee Whitney,Mona McCluskey
Grace Lee Whitney,No Time for Sergeants
Majel Barrett,Star Trek III: Redemption
Majel Barrett,Star Trek II: Retribution
Majel Barrett,Star Trek
Majel Barrett,Star Trek Phase II
Majel Barrett,Star Trek: Enterprise
Majel Barrett,Star Trek: Nemesis
Majel Barrett,Family Guy
DeForest Kelley,The Millionaire
DeForest Kelley,Illegal
DeForest Kelley,House of Bamboo
DeForest Kelley,Mayor of the Town
DeForest Kelley,The Loretta Young Show
DeForest Kelley,City Detective
William Shatner,Shoot or Be Shot
William Shatner,The Kid
William Shatner,Bob Patterson
Bart La Rue,Mannix
Bart La Rue,Mission: Impossible
Bart La Rue,Night of Terror
Bart La Rue,Medical Center
Bart La Rue,Cade's County
Bart La Rue,The Brady Bunch
Bart La Rue,The F.B.I.
Bart La Rue,The Andromeda Strain
Grace Lee Whitney,Bewitched
Grace Lee Whitney,Temple Houston
Grace Lee Whitney,Bob Hope Presents the Chrysler Theatre
Grace Lee Whitney,Wagon Train
Grace Lee Whitney,Arrest and Trial
Grace Lee Whitney,The Outer Limits
Grace Lee Whitney,Kraft Suspense Theatre
Majel Barrett,Star Trek: Voyager
Majel Barrett,Mars and Beyond
Majel Barrett,Earth: Final Conflict
Majel Barrett,Star Trek: Deep Space Nine
Majel Barrett,Diagnosis Murder
Majel Barrett,Spider-Man: The Animated Series
DeForest Kelley,Cavalcade of America
DeForest Kelley,Public Defender
DeForest Kelley,Your Favorite Story
DeForest Kelley,The Lone Wolf
DeForest Kelley,Duffy of San Quentin
DeForest Kelley,Waterfront
William Shatner,Osmosis Jones
William Shatner,Falcon Down
Bart La Rue,The Young Lawyers
Bart La Rue,"Love, American Style"
Bart La Rue,Dan August
Bart La Rue,Here Come the Brides
Bart La Rue,Bonanza
Bart La Rue,Star Trek: The Original Series
Bart La Rue,Land of the Giants
Bart La Rue,The Wild Wild West
Grace Lee Whitney,The Man from Galveston
Grace Lee Whitney,77 Sunset Strip
Grace Lee Whitney,Irma la Douce
Grace Lee Whitney,The Untouchables
Grace Lee Whitney,Critic's Choice
Grace Lee Whitney,King of Diamonds
Grace Lee Whitney,Sam Benedict
Majel Barrett,Star Trek: First Contact
Majel Barrett,Babylon 5
Majel Barrett,Mommy
Majel Barrett,Star Trek: Generations
Majel Barrett,Star Trek: The Next Generation
Majel Barrett,Teresa's Tattoo
Majel Barrett,Star Trek IV: The Voyage Home
DeForest Kelley,The Pepsi-Cola Playhouse
DeForest Kelley,The Revlon Mirror Theater
DeForest Kelley,The Lone Ranger
DeForest Kelley,Taxi
DeForest Kelley,Your Jeweler's Showcase
DeForest Kelley,Armstrong Circle Theatre
Sean Morgan,Holding the Baby
Sean Morgan,The Ghosting
William Shatner,Miss Congeniality
William Shatner,3rd Rock from the Sun
William Shatner,A Twist in the Tale
Bart La Rue,Lost in Space
Bart La Rue,Voyage to the Bottom of the Sea
Bart La Rue,The Time Tunnel
Grace Lee Whitney,The Eleventh Hour
Grace Lee Whitney,Ensign O'Toole
Grace Lee Whitney,Surfside 6
Grace Lee Whitney,The New Breed
Grace Lee Whitney,Frontier Circus
Grace Lee Whitney,A Public Affair
Grace Lee Whitney,The Rifleman
Majel Barrett,The Man in the Santa Claus Suit
Majel Barrett,Star Trek: The Motion Picture
Majel Barrett,The Suicide's Wife
Majel Barrett,The Next Step Beyond
Majel Barrett,Spectre
Majel Barrett,The Domino Principle
Majel Barrett,Star Trek: The Animated Series
DeForest Kelley,Studio One
DeForest Kelley,The Men
DeForest Kelley,Life of St. Paul Series
DeForest Kelley,Malaya
DeForest Kelley,Duke of Chicago
DeForest Kelley,Canon City
Sean Morgan,Thirtysomething
Sean Morgan,21 Jump Street
Sean Morgan,Unsub
Sean Morgan,Wiseguy
Sean Morgan,Harry and the Hendersons
Sean Morgan,A Year in the Life
Sean Morgan,Vision Quest
Sean Morgan,Reunion
Sean Morgan,Joni
Sean Morgan,The Love Boat
William Shatner,Hercules
William Shatner,Free Enterprise
William Shatner,Land of the Free
Grace Lee Whitney,Gunsmoke
Grace Lee Whitney,Hawaiian Eye
Grace Lee Whitney,The Detectives
Grace Lee Whitney,The Roaring 20's
Grace Lee Whitney,Hennesey
Grace Lee Whitney,Pocketful of Miracles
Grace Lee Whitney,General Electric Theater
Majel Barrett,Planet Earth
Majel Barrett,The F.B.I.
Majel Barrett,The Questor Tapes
Majel Barrett,Westworld
Majel Barrett,Genesis II
Majel Barrett,Columbo
Majel Barrett,The Young Lawyers
Majel Barrett,Star Trek: The Original Series
DeForest Kelley,Gypsy Holiday
DeForest Kelley,Public Prosecutor
DeForest Kelley,Beyond Our Own
DeForest Kelley,Variety Girl
DeForest Kelley,Fear in the Night
DeForest Kelley,Time to Kill
Sean Morgan,Man from Atlantis
Sean Morgan,CHiPs
Sean Morgan,Barnaby Jones
Sean Morgan,Sonic Boom
Sean Morgan,Police Story
Sean Morgan,"What's Up, Doc?"
Sean Morgan,Longstreet
Sean Morgan,Mannix
Sean Morgan,Medical Center
Sean Morgan,Here's Lucy
William Shatner,Cosby
William Shatner,The First Men in the Moon
William Shatner,Perversions of Science
Grace Lee Whitney,The Real McCoys
Grace Lee Whitney,Michael Shayne
Grace Lee Whitney,Peter Loves Mary
Grace Lee Whitney,The Islanders
Grace Lee Whitney,Bat Masterson
Grace Lee Whitney,Zane Grey Theatre
Grace Lee Whitney,Overland Trail
Majel Barrett,Here Come the Brides
Majel Barrett,The Second Hundred Years
Majel Barrett,Track of Thunder
Majel Barrett,A Guide for the Married Man
Majel Barrett,Please Don't Eat the Daisies
Majel Barrett,Country Boy
Majel Barrett,Love on a Rooftop
Sean Morgan,Star Trek: The Original Series
Sean Morgan,The Lucy Show
Sean Morgan,Voyage to the Bottom of the Sea
Sean Morgan,The Adventures of Ozzie and Harriet
William Shatner,"The Prisoner of Zenda, Inc."
William Shatner,Dead Man's Island
William Shatner,TekWar
Grace Lee Whitney,Some Like It Hot
Grace Lee Whitney,The Life and Legend of Wyatt Earp
Grace Lee Whitney,Flight
Grace Lee Whitney,The Naked and the Dead
Grace Lee Whitney,Mike Hammer
Grace Lee Whitney,The Walter Winchell File
Grace Lee Whitney,Top Banana
Majel Barrett,Bonanza
Majel Barrett,Made in Paris
Majel Barrett,Sylvia
Majel Barrett,Many Happy Returns
Majel Barrett,The Lieutenant
Majel Barrett,General Hospital
Majel Barrett,The Quick and the Dead
Jeffrey Hunter,Mafia Mob
William Shatner,Eek! The Cat
William Shatner,Janek: The Silent Betrayal
William Shatner,Star Trek: Generations
Majel Barrett,Dr. Kildare
Majel Barrett,The Lucy Show
Majel Barrett,77 Sunset Strip
Majel Barrett,Cain's Hundred
Majel Barrett,Pete and Gladys
Majel Barrett,Back Street
Majel Barrett,Love in a Goldfish Bowl
Jeffrey Hunter,Super Colt 38
Jeffrey Hunter,Insight
Jeffrey Hunter,Sexy Susan Sins Again
