actor,movie_or_TV_name
Maile Flanagan,Something Real
Maile Flanagan,Road to Ninja - Naruto the Movie
Maile Flanagan,Naruto Shippûden: Ultimate Ninja Storm Generations
Maile Flanagan,Wrong
Maile Flanagan,Final Fantasy XIII-2
Maile Flanagan,Naruto Shippûden: Ultimate Ninja Impact
Maile Flanagan,Naruto Shippuden the Movie: Blood Prison
Maile Flanagan,Weeds
Maile Flanagan,Transformers: Dark of the Moon
Maile Flanagan,Rango
Maile Flanagan,Nathan vs. Nurture
Maile Flanagan,Naruto Shippûden: Ultimate Ninja Storm 2
Maile Flanagan,Fish Hooks
Maile Flanagan,Naruto Shippûden: The Lost Tower
Maile Flanagan,Naruto Shippûden: Kizuna Drive
Maile Flanagan,Svetlana
Maile Flanagan,Kung Fu Magoo
Maile Flanagan,Back at the Barnyard
Maile Flanagan,Valkyria Chronicles II
Maile Flanagan,Final Fantasy XIII
Maile Flanagan,Naruto Shippûden: Ultimate Ninja Heroes 3
Maile Flanagan,Naruto Shippûden: Dragon Blade Chronicles
Maile Flanagan,Naruto Shippûden: Clash of Ninja Revolution 3
Maile Flanagan,Naruto Shippûden: Legends: Akatsuki Rising
Maile Flanagan,Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire
Maile Flanagan,In the Motherhood
Maile Flanagan,3Way
Maile Flanagan,Ice Age: Dawn of the Dinosaurs
Maile Flanagan,iCarly
Maile Flanagan,500 Days of Summer
Maile Flanagan,Yes Man
Maile Flanagan,Naruto: The Broken Bond
Maile Flanagan,Naruto: Ultimate Ninja Storm
Maile Flanagan,Naruto: Clash of Ninja Revolution 2
Maile Flanagan,Naruto Shippuden: The Movie - Bonds
Maile Flanagan,Reno 911!
Maile Flanagan,Naruto: Rise of a Ninja
Maile Flanagan,Naruto: Clash of Ninja Revolution
Maile Flanagan,Grey's Anatomy
Maile Flanagan,Naruto: Ultimate Ninja Heroes
Maile Flanagan,Naruto Shippûden: The Movie
Maile Flanagan,Evan Almighty
Maile Flanagan,Naruto Shippûden: Ultimate Ninja 4
Maile Flanagan,The Class
Maile Flanagan,The Number 23
Maile Flanagan,Naruto
Maile Flanagan,The Office
Maile Flanagan,Jakers! The Adventures of Piggley Winks
Maile Flanagan,Big Day
Maile Flanagan,ER
Maile Flanagan,Naruto: Uzumaki Chronicles 2
Maile Flanagan,Desperate Housewives
Maile Flanagan,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom
Maile Flanagan,Lovespring International
Maile Flanagan,Naruto: Ultimate Ninja Heroes 2: The Phantom Fortress
Maile Flanagan,The Toy Warrior
Maile Flanagan,Naruto: Ultimate Ninja 3
Maile Flanagan,Hot Properties
Maile Flanagan,Naruto: Uzumaki Chronicles
Maile Flanagan,Naruto the Movie 2: Legend of the Stone of Gelel
Maile Flanagan,Naruto: Ultimate Ninja 2
Maile Flanagan,Naruto the Movie: Ninja Clash in the Land of Snow
Maile Flanagan,Naruto: The Lost Story - Mission: Protect the Waterfall Village
Maile Flanagan,Naruto: Clash of Ninja 2
Maile Flanagan,Naruto: Ultimate Ninja
Maile Flanagan,Naruto: Clash of Ninja
Maile Flanagan,Astro Boy
Maile Flanagan,The Station Agent
Maile Flanagan,Now You Know
Maile Flanagan,Phone Booth
Maile Flanagan,Never Get Outta the Boat
Maile Flanagan,Tom and Jerry: The Magic Ring
Maile Flanagan,Citizen Baines
Maile Flanagan,61*
Maile Flanagan,Gideon's Crossing
Maile Flanagan,Jackie Chan Adventures
Maile Flanagan,Oh Yeah! Cartoons
Maile Flanagan,Men in Black: The Series
Maile Flanagan,MADtv
Maile Flanagan,Overnight Delivery
Yuri Lowenthal,Spider-Man 2
Yuri Lowenthal,Prince of Persia: Sands of Time Remake
Yuri Lowenthal,Hullabaloo
Yuri Lowenthal,Delicate State
Yuri Lowenthal,Injustice
Yuri Lowenthal,Lost Judgment
Yuri Lowenthal,He-Man and the Masters of the Universe
Yuri Lowenthal,Marvel Future Revolution
Yuri Lowenthal,Psychonauts 2
Yuri Lowenthal,Blackout
Yuri Lowenthal,Mass Effect: Legendary Edition
Yuri Lowenthal,Victor & Valentino
Yuri Lowenthal,NieR Replicant: ver.1.22474487139...
Yuri Lowenthal,Ben 10
Yuri Lowenthal,Dota: Dragon's Blood
Yuri Lowenthal,"Abby Hatcher, Fuzzly Catcher"
Yuri Lowenthal,Citizens Unite!: Earth x Space
Yuri Lowenthal,Cookie Run: Kingdom
Yuri Lowenthal,RWBY
Yuri Lowenthal,Where's Waldo?
Yuri Lowenthal,Call of the Sea
Yuri Lowenthal,World of Warcraft: Shadowlands
Kate Higgins,Sonic Colors: Ultimate
Yuri Lowenthal,Call of Duty: Black Ops Cold War
Yuri Lowenthal,Bugsnax
Yuri Lowenthal,Spider-Man: Miles Morales
Kate Higgins,Sonic Colors: Rise of the Wisps
Kate Higgins,Psychonauts 2
Kate Higgins,NEO: The World Ends with You
Kate Higgins,Kamp Koral: SpongeBob's Under Years
Yuri Lowenthal,Möbius Front '83
Yuri Lowenthal,Ben 10 vs. the Universe: The Movie
Yuri Lowenthal,Crash Bandicoot 4: It's About Time
Kate Higgins,Mario Golf: Super Rush
Kate Higgins,Blaze and the Monster Machines
Kate Higgins,Close Enough
Kate Higgins,Sailor Moon Eternal
Yuri Lowenthal,Genshin Impact
Yuri Lowenthal,Spider-Man
Yuri Lowenthal,Chasing Fletcher Allen
Kate Higgins,Neptunia reVerse
Kate Higgins,World of Warcraft: Shadowlands
Kate Higgins,Hyrule Warriors: Age of Calamity
Kate Higgins,Devil May Cry 5: Special Edition
Yuri Lowenthal,A Tale Told by an Idiot
Yuri Lowenthal,Prince of Persia: The Dagger of Time
Yuri Lowenthal,The Swan Princess: A Royal Wedding
Kate Higgins,Deadly Premonition 2: A Blessing in Disguise
Kate Higgins,XCOM: Chimera Squad
Kate Higgins,Final Fantasy VII Remake
Kate Higgins,Digimon Adventure: Last Evolution Kizuna
Yuri Lowenthal,The Last of Us: Part II
Yuri Lowenthal,Final Fantasy VII Remake
Yuri Lowenthal,Phoenix Blue
Kate Higgins,Boruto: Naruto Next Generations
Kate Higgins,Enchantimals: Tales from Everwilde
Kate Higgins,Mario Kart Tour
Kate Higgins,Trouble
Yuri Lowenthal,Camp Camp
Yuri Lowenthal,Boruto: Naruto Next Generations
Yuri Lowenthal,Star Wars Jedi: Fallen Order
Kate Higgins,Marvel Ultimate Alliance 3: The Black Order
Kate Higgins,Star vs. the Forces of Evil
Kate Higgins,Pinkfong Wonderstar
Kate Higgins,Devil May Cry 5
Yuri Lowenthal,Death Stranding
Yuri Lowenthal,Need for Speed: Heat
Yuri Lowenthal,DC Super Hero Girls: Super Shorts
Chie Nakamura,Boruto: Naruto Next Generations
Kate Higgins,Dead or Alive 6
Kate Higgins,Code Geass: Lelouch of the Re;Surrection
Kate Higgins,Tales of Vesperia: Definitive Edition
Kate Higgins,Bunnicula
Yuri Lowenthal,Persona 5 Royal
Yuri Lowenthal,Call of Duty: Modern Warfare
Yuri Lowenthal,Butter Emails
Chie Nakamura,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat
Chie Nakamura,Jujutsu Kaisen
Chie Nakamura,Dororo
Chie Nakamura,Ace Attorney
Chie Nakamura,Soulcalibur VI
Chie Nakamura,Naruto to Boruto: Shinobi Striker
Chie Nakamura,Devilman: Crybaby
Chie Nakamura,Vatican Miracle Examiner
Chie Nakamura,God Wars: Toki o koete
Kate Higgins,God Eater 3
Kate Higgins,Ralph Breaks the Internet
Kate Higgins,Soulcalibur VI
Kate Higgins,Shimmer and Shine
Yuri Lowenthal,DuckTales
Yuri Lowenthal,DC Super Hero Girls
Yuri Lowenthal,Baby S
Chie Nakamura,Naruto: Shippûden
Chie Nakamura,The Day Naruto Became Hokage
Chie Nakamura,Naruto Shippûden: Ultimate Ninja Storm 4
Chie Nakamura,Mario & Sonic at the Rio 2016 Olympic Games
Chie Nakamura,Tokyo Ghoul: Pinto
Chie Nakamura,Boruto: Naruto The Movie
Chie Nakamura,Magic Kaito 1412
Chie Nakamura,The Last: Naruto the Movie
Chie Nakamura,Naruto Shippûden: Ultimate Ninja Storm Revolution
Kate Higgins,Naruto to Boruto: Shinobi Striker
Kate Higgins,Modest Heroes
Kate Higgins,The Powerpuff Girls
Kate Higgins,World of Warcraft: Battle for Azeroth
Yuri Lowenthal,Young Justice
Yuri Lowenthal,Remnant: From the Ashes
Yuri Lowenthal,Eliza
Chie Nakamura,Granblue Fantasy
Chie Nakamura,Soulcalibur: Lost Swords
Chie Nakamura,Samurai Flamenco
Chie Nakamura,Killer Is Dead
Chie Nakamura,Naruto SD: Rock Lee & His Ninja Pals
Chie Nakamura,Naruto Shippûden: Ultimate Ninja Storm 3
Chie Nakamura,Naruto Powerful Shippûden
Chie Nakamura,Eureka Seven: Ao
Kate Higgins,Super Neptunia RPG
Kate Higgins,Enchantimals: Wonderwood Stories
Kate Higgins,Mario Tennis Aces
Kate Higgins,Hotel Artemis
Yuri Lowenthal,The Swan Princess: Kingdom of Music
Yuri Lowenthal,Dragon Quest: Your Story
Yuri Lowenthal,Marvel Ultimate Alliance 3: The Black Order
Chie Nakamura,Road to Ninja - Naruto the Movie
Chie Nakamura,Natsuyuki Rendezvous
Chie Nakamura,Stitch!
Chie Nakamura,Atelier Elkrone: Dear for Otomate
Chie Nakamura,Naruto Shippûden: Ultimate Ninja Storm Generations
Chie Nakamura,Soulcalibur V
Chie Nakamura,K-On! The Movie
Chie Nakamura,Naruto Shippûden: Ultimate Ninja Impact
Chie Nakamura,Naruto Shippuden the Movie: Blood Prison
Kate Higgins,Enchantimals: Wildly Whimsical Tales
Kate Higgins,Digimon Adventure tri. Part 6: Future
Kate Higgins,Valkyria Chronicles 4
Kate Higgins,Axel 2: Adventures of the Spacekids
Yuri Lowenthal,RWBY: Volume 6
Yuri Lowenthal,Promare: Galo-hen
Yuri Lowenthal,Promare: Lio-hen
Chie Nakamura,Sonic Free Riders
Chie Nakamura,Naruto Shippûden: Ultimate Ninja Storm 2
Chie Nakamura,K-On!
Chie Nakamura,Gekijô-ban Naruto: Soyokaze-den Naruto to majin to 3-tsu no onegai dattebayo!!
Chie Nakamura,Naruto Shippûden: The Lost Tower
Chie Nakamura,Naruto Shippûden: Kizuna Drive
Chie Nakamura,Naruto: The Cross Roads - Za kurosu rôzu
Chie Nakamura,Naruto Shippûden: Ultimate Ninja Heroes 3
Kate Higgins,Valt the Wonder Deer
Kate Higgins,Girls Mode 4: Star Stylist
Kate Higgins,.hack//G.U. Last Recode
Kate Higgins,Super Mario Odyssey
Yuri Lowenthal,Promare
Yuri Lowenthal,"Love, Death & Robots"
Yuri Lowenthal,Dead or Alive 6
Chie Nakamura,Naruto Shippûden: Dragon Blade Chronicles
Chie Nakamura,Naruto Shippûden: Legends: Akatsuki Rising
Chie Nakamura,Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire
Chie Nakamura,Gintama
Chie Nakamura,Naruto: The Broken Bond
Chie Nakamura,Naruto: Ultimate Ninja Storm
Chie Nakamura,Valkyrie Profile: Covenant of the Plume
Chie Nakamura,Naruto Shippuden: The Movie - Bonds
Kate Higgins,Pickle and Peanut
Kate Higgins,Digimon Adventure tri. Part 5: Coexistence
Kate Higgins,Fire Emblem Warriors
Kate Higgins,XCOM 2: War of the Chosen
Yuri Lowenthal,Catherine: Full Body
Yuri Lowenthal,Metro Exodus
Yuri Lowenthal,Code Geass: Lelouch of the Re;Surrection
Chie Nakamura,Soulcalibur IV
Chie Nakamura,Shippû! 'Konoha gakuen' den
Chie Nakamura,Sonic Riders: Zero Gravity
Chie Nakamura,Naruto Shippûden: Ultimate Ninja 5
Chie Nakamura,Soulcalibur Legends
Chie Nakamura,Naruto Shippûden: The Movie
Chie Nakamura,Summer Days with Coo
Chie Nakamura,Naruto Shippûden: Ultimate Ninja 4
Chie Nakamura,Naruto
Kate Higgins,Agents of Mayhem
Kate Higgins,Eureka Seven: Hi-Evolution 1
Kate Higgins,Lego Scooby-Doo! Blowout Beach Bash
Kate Higgins,Whisker Haven Tales with the Palace Pets
Yuri Lowenthal,Quake Champions
Yuri Lowenthal,Squirrel
Yuri Lowenthal,God Eater 3
Chie Nakamura,Naruto: Uzumaki Chronicles 2
Chie Nakamura,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom
Chie Nakamura,Battle Stadium D.O.N.
Chie Nakamura,XXXHOLiC
Chie Nakamura,Eureka Seven Vol.2: The New Vision
Chie Nakamura,Gun-dou Musashi
Chie Nakamura,Naruto: Ultimate Ninja Heroes 2: The Phantom Fortress
Chie Nakamura,Sonic Riders
Chie Nakamura,Naruto: Finally a Clash!! Jounin vs. Genin!
Kate Higgins,Tom and Jerry: Willy Wonka and the Chocolate Factory
Kate Higgins,Alpha and Omega: Journey to Bear Kingdom
Kate Higgins,Fire Emblem Echoes: Shadows of Valentia
Kate Higgins,Naruto: Shippûden
Yuri Lowenthal,Judgement
Yuri Lowenthal,Camp Camp: Culture Day
Yuri Lowenthal,Super Smash Bros. Ultimate
Chie Nakamura,Naruto: Ultimate Ninja 3
Chie Nakamura,Tales of the Abyss
Chie Nakamura,Ginban Kaleidoscope
Chie Nakamura,Eureka Seven Vol.1: The New Wave
Chie Nakamura,Naruto the Movie 2: Legend of the Stone of Gelel
Chie Nakamura,Naruto: Gekito Ninja Taisen! 3
Chie Nakamura,Gankutsuou: The Count of Monte Cristo
Chie Nakamura,Naruto: Ultimate Ninja 2
Kate Higgins,The Legend of Zelda: Breath of the Wild
Kate Higgins,Digimon Adventure tri. Part 4: Loss
Kate Higgins,Cyberdimension Neptunia: 4 Goddesses Online
Kate Higgins,Fire Emblem Heroes
Yuri Lowenthal,Spy Kids: Mission Critical
Yuri Lowenthal,Bunnicula
Yuri Lowenthal,Artifact
Chie Nakamura,Naruto: Hidden Leaf Village Grand Sports Festival
Chie Nakamura,Naruto the Movie: Ninja Clash in the Land of Snow
Chie Nakamura,Gilgamesh
Chie Nakamura,Bottle Fairy
Chie Nakamura,Naruto: The Lost Story - Mission: Protect the Waterfall Village
Chie Nakamura,Naruto: Clash of Ninja 2
Chie Nakamura,Naruto: Ultimate Ninja
Chie Nakamura,Naruto: Clash of Ninja
Kate Higgins,Super Mario Run
Kate Higgins,The Toycracker: A Mini-Musical Spectacular
Kate Higgins,Twin Star Exorcists
Kate Higgins,Regular Show
Yuri Lowenthal,Space Racers
Yuri Lowenthal,Fallout 76
Yuri Lowenthal,Back to Earth: Interactive Experience
Chie Nakamura,Naruto: Akaki yotsuba no kurôbâ o sagase
Chie Nakamura,Legend of Himiko
Chie Nakamura,Weiß Kreuz: OVA
Chie Nakamura,You're Under Arrest: The Movie
Chie Nakamura,Dual! Paralle lunlun monogatari
Chie Nakamura,LA Waltz
Kate Higgins,Alpha and Omega 7: The Big Fureeze
Kate Higgins,Digimon Adventure Tri. Part 3: Confession
Kate Higgins,World of Warcraft: Legion
Kate Higgins,Ever After High: Epic Winter
Junko Takeuchi,Boruto: Naruto Next Generations
Yuri Lowenthal,Butterbean's Café
Yuri Lowenthal,Little Big Awesome
Yuri Lowenthal,We Bare Bears
Kate Higgins,Rainbow Ruby
Kate Higgins,Ghostbusters
Kate Higgins,Big Fish & Begonia
Kate Higgins,Sailor Moon Crystal
Junko Takeuchi,100-man no Inochi no Ue ni Ore wa Tatte Iru
Junko Takeuchi,Mazica Party
Junko Takeuchi,Digimon Adventure: Last Evolution Kizuna
Junko Takeuchi,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson
Junko Takeuchi,POP TEAM EPIC TV Special
Junko Takeuchi,Dororo
Junko Takeuchi,Jump Force
Yuri Lowenthal,Marvel Future Avengers
Yuri Lowenthal,Lego DC Super-Villains
Kate Higgins,Alpha and Omega: Dino Digs
Kate Higgins,Digimon World: Next 0rder
Kate Higgins,Digimon Adventure tri. Part 2: Determination
Kate Higgins,The Perfect Match
Junko Takeuchi,Inazuma Eleven: Orion no Kokuin
Junko Takeuchi,Naruto to Boruto: Shinobi Striker
Junko Takeuchi,Digimon Adventure tri. Part 6: Future
Junko Takeuchi,After the Rain
Junko Takeuchi,Onmyoji
Junko Takeuchi,Digimon Adventure tri. Part 5: Coexistence
Junko Takeuchi,Little Witch Academia
Yuri Lowenthal,Call of Duty: Black Ops 4
Yuri Lowenthal,Camp Camp: Arrival of the Torso Takers
Yuri Lowenthal,Laws of the Universe Part 1
Kate Higgins,Monster High: Great Scarrier Reef
Kate Higgins,Code Geass: Akito the Exiled Final - To Beloved Ones
Kate Higgins,XCom 2
Kate Higgins,Naruto Shippûden: Ultimate Ninja Storm 4
Junko Takeuchi,Naruto: Shippûden
Junko Takeuchi,Digimon Adventure tri. Part 4: Loss
Junko Takeuchi,Fire Emblem Heroes
Junko Takeuchi,Boruto: Jump Festa Special
Junko Takeuchi,Nyanbo!
Junko Takeuchi,Digimon Adventure Tri. Part 3: Confession
Junko Takeuchi,Kochira Katsushika-ku Kamearikouen-mae Hashutsujo The Final: Ryotsu Kankichi Saigo no Hi
Junko Takeuchi,The Day Naruto Became Hokage
Yuri Lowenthal,Dragalia Lost
Yuri Lowenthal,Orbital Redux
Yuri Lowenthal,Spider-Man
Kate Higgins,Lego Marvel's Avengers
Kate Higgins,Mario & Sonic at the Rio 2016 Olympic Games
Kate Higgins,Monster High New Ghoul in School
Kate Higgins,Norm of the North
Junko Takeuchi,Yu-Gi-Oh!: The Dark Side of Dimensions
Junko Takeuchi,Digimon Adventure tri. Part 2: Determination
Junko Takeuchi,Naruto Shippûden: Ultimate Ninja Storm 4
Junko Takeuchi,Digimon Adventure tri. Part 1: Reunion
Junko Takeuchi,Grand Kingdom
Junko Takeuchi,Boruto: Naruto The Movie
Junko Takeuchi,"Hoopa, the Mischief Pokémon"
Yuri Lowenthal,Any Bullet Will Do
Yuri Lowenthal,Naruto to Boruto: Shinobi Striker
Yuri Lowenthal,Modest Heroes
Kate Higgins,Superdimension Neptune vs. Sega Hard Girls
Kate Higgins,Digimon Adventure tri. Part 1: Reunion
Kate Higgins,Everstar
Kate Higgins,God Eater: Resurrection
Junko Takeuchi,The Last: Naruto the Movie
Junko Takeuchi,Naruto Shippûden: Ultimate Ninja Storm Revolution
Junko Takeuchi,Inazuma Eleven: Chou Jigen Dream Match
Junko Takeuchi,J-Stars Victory Vs
Junko Takeuchi,Pokémon Origins
Junko Takeuchi,Polar Bear's Café
Junko Takeuchi,Naruto SD: Rock Lee & His Ninja Pals
Junko Takeuchi,Naruto Shippûden: Ultimate Ninja Storm 3
Noriaki Sugiyama,Boruto: Naruto Next Generations
Yuri Lowenthal,RWBY Chibi
Yuri Lowenthal,In a Foreign Town
Yuri Lowenthal,FLCL Progressive
Kate Higgins,Megatagmension Blanc: Neptune Vs Zombies
Kate Higgins,"Monster High: Boo York, Boo York"
Kate Higgins,Barbie: Life in the Dreamhouse
Kate Higgins,Disney Infinity 3.0
Junko Takeuchi,Digimon Adventure
Junko Takeuchi,Naruto Powerful Shippûden
Junko Takeuchi,Road to Ninja - Naruto the Movie
Junko Takeuchi,Inazuma Eleven Go 2: Chrono Stone
Junko Takeuchi,Precure All Stars New Stage Movie: Friends of the Future
Junko Takeuchi,Naruto Shippûden: Ultimate Ninja Storm Generations
Junko Takeuchi,Naruto Shippûden: Ultimate Ninja Impact
Noriaki Sugiyama,Everyday Today's Menu for Emiya Family: Lancer Scenario Pack
Noriaki Sugiyama,Everyday Today's Menu for Emiya Family
Noriaki Sugiyama,Hetalia: World Stars
Noriaki Sugiyama,Fate/Stay Night: Heaven's Feel - III. Spring Song
Noriaki Sugiyama,Actors: Songs Connection
Noriaki Sugiyama,Final Fantasy XV: Episode Ardyn
Noriaki Sugiyama,Mob Psycho 100
Kyle Hebert,Bill Plympton Presents: Magnum Farce
Yuri Lowenthal,Voice-Over Voice Actor: The Extended Edition
Yuri Lowenthal,Evil Corp Game Presents: The Agent
Yuri Lowenthal,RWBY: Volume 5
Kate Higgins,Ever After High: Way Too Wonderland
Kate Higgins,Boruto: Naruto The Movie
Kate Higgins,Fresh Beat Band of Spies
Kate Higgins,Talking Voices
Junko Takeuchi,One Piece
Junko Takeuchi,Honoo no Chuunin Shiken! Naruto vs Konohamaru
Junko Takeuchi,Naruto Shippuden the Movie: Blood Prison
Junko Takeuchi,Gintama
Junko Takeuchi,Pokémon
Junko Takeuchi,Buddha: The Great Departure
Junko Takeuchi,Children Who Chase Lost Voices
Noriaki Sugiyama,One Piece: World Seeker
Noriaki Sugiyama,Jump Force
Noriaki Sugiyama,Code Geass: Lelouch of the Re;Surrection
Noriaki Sugiyama,Fate/Stay Night: Heaven's Feel II. Lost Butterfly
Noriaki Sugiyama,Today's Menu for the Emiya Family
Noriaki Sugiyama,Naruto to Boruto: Shinobi Striker
Noriaki Sugiyama,One Piece
Kyle Hebert,Guardians of Luna
Kyle Hebert,Midnight Wave
Kyle Hebert,Black Book
Yuri Lowenthal,BlazBlue: Cross Tag Battle
Yuri Lowenthal,Persona 3: Dancing in Moonlight
Yuri Lowenthal,State of Decay 2
Kate Higgins,Return to PopoloCrois: A Story of Seasons Fairytale
Kate Higgins,Heroes of the Storm
Kate Higgins,Lord of Magna: Maiden Heaven
Kate Higgins,Ever After High
Junko Takeuchi,Inazuma Eleven: The Movie
Junko Takeuchi,Naruto Shippûden: Ultimate Ninja Storm 2
Junko Takeuchi,Highschool of the Dead
Junko Takeuchi,Gekijô-ban Naruto: Soyokaze-den Naruto to majin to 3-tsu no onegai dattebayo!!
Junko Takeuchi,Naruto Shippûden: The Lost Tower
Junko Takeuchi,Naruto Shippûden: Kizuna Drive
Junko Takeuchi,Planzet
Noriaki Sugiyama,Code Geass: Lelouch of the Rebellion - Emperor
Noriaki Sugiyama,Code Geass: Lelouch of the Rebellion II - Transgression
Noriaki Sugiyama,Onmyoji
Noriaki Sugiyama,Code Geass: Lelouch of the Rebellion I - Initiation
Noriaki Sugiyama,Fate/Stay Night: Heaven's Feel - I. Presage Flower
Noriaki Sugiyama,Clean Freak! Aoyama Kun
Noriaki Sugiyama,Tsuredure Children
Noriaki Sugiyama,Fate/Kaleid Liner Prisma Illya: The Movie - Oath Under Snow
Kyle Hebert,Baki Hanma
Kyle Hebert,WarioWare: Get It Together!
Kyle Hebert,The Seven Deadly Sins: Cursed by Light
Yuri Lowenthal,The Swan Princess: A Royal Myztery
Yuri Lowenthal,Batman Ninja
Yuri Lowenthal,Onmyoji
Kate Higgins,Code Geass: Akito the Exiled 3 - The Brightness Falls
Kate Higgins,Marvel Future Fight
Kate Higgins,Xenoblade Chronicles X
Kate Higgins,Megadimension Neptunia VII
Junko Takeuchi,Eiga Purikyua ôru sutâzu DX 2: Kibou no hikari Reinbô jueru o mamore!
Junko Takeuchi,Naruto: The Cross Roads - Za kurosu rôzu
Junko Takeuchi,Naruto Shippûden: Ultimate Ninja Heroes 3
Junko Takeuchi,Naruto Shippûden: Dragon Blade Chronicles
Junko Takeuchi,Digimon Adventure 3D: Digimon Grand Prix!
Junko Takeuchi,Naruto Shippûden: Legends: Akatsuki Rising
Junko Takeuchi,Naruto Shippûden: The Movie 3: Inheritors of the Will of Fire
Noriaki Sugiyama,Dissidia Final Fantasy: Opera Omnia
Noriaki Sugiyama,Black Butler: Book of the Atlantic
Noriaki Sugiyama,Naruto: Shippûden
Noriaki Sugiyama,D.Gray-man Hallow
Noriaki Sugiyama,ReLIFE
Noriaki Sugiyama,Naruto Shippûden: Ultimate Ninja Storm 4
Noriaki Sugiyama,Norn9
Kyle Hebert,Edens Zero
Kyle Hebert,Pokémon
Kyle Hebert,Fruits Basket
Yuri Lowenthal,Batman: Gotham by Gaslight
Yuri Lowenthal,Dissidia Final Fantasy NT
Yuri Lowenthal,Faery Tale
Kate Higgins,Polly Pocket
Kate Higgins,Son of Nor
Kate Higgins,Alpha and Omega 5: Family Vacation
Kate Higgins,Monster High: Haunted
Junko Takeuchi,Natsume's Book of Friends
Junko Takeuchi,Eiga! Tamagotchi: Uchû ichi happy na monogatari!?
Junko Takeuchi,Naruto: The Broken Bond
Junko Takeuchi,Iesu! Purikyua 5 gô gô! Okashi no kuni no happî bâsudei
Junko Takeuchi,Naruto: Ultimate Ninja Storm
Junko Takeuchi,Inazuma Eleven
Junko Takeuchi,Naruto Shippuden: The Movie - Bonds
Noriaki Sugiyama,JoJo's Bizarre Adventure: Eyes of Heaven
Noriaki Sugiyama,Fate/stay night: Unlimited Blade Works
Noriaki Sugiyama,Boruto: Naruto The Movie
Noriaki Sugiyama,Kekkai Sensen
Noriaki Sugiyama,The Last: Naruto the Movie
Noriaki Sugiyama,Black Butler: Book of Circus
Noriaki Sugiyama,Naruto Shippûden: Ultimate Ninja Storm Revolution
Noriaki Sugiyama,Zyuden Sentai Kyoryuger: 100 Years After
Kyle Hebert,Homunculus
Kyle Hebert,Beastars
Kyle Hebert,Kayko and Kokosh
Yuri Lowenthal,Here + After
Yuri Lowenthal,Whatta Lark
Yuri Lowenthal,"Camp Camp: A Camp Camp Christmas, or Whatever"
Kate Higgins,Screamride
Kate Higgins,God Eater 2: Rage Burst
Kate Higgins,Dead or Alive 5: Last Round
Kate Higgins,Evolve
Junko Takeuchi,Shippû! 'Konoha gakuen' den
Junko Takeuchi,Yes! Purikyua 5 go go!
Junko Takeuchi,Naruto Shippûden: Ultimate Ninja 5
Junko Takeuchi,Naruto Shippûden: The Movie
Junko Takeuchi,Claymore
